"host-name","Unique Count"
150.100.212.168,1
150.100.212.199,1
150.100.212.40,1
150.100.212.72,1
150.100.212.8,1
150.100.213.39,1
157.82.116.64,1
157.82.116.65,1
157.82.116.66,1
157.82.116.67,1
163-220-229-67.v4.coe.ad.jp,1
163.220.229.67,1
202.13.202.125,1
202.13.202.126,1
202.13.202.127,1
203.181.248.17,1
nms5.jp.apan.net,1
perf-aomori-1g.sinet.ad.jp,1
perf-hokkaido-1g.sinet.ad.jp,1
perf-ishikawa-1g.sinet.ad.jp,1
perf-kumamoto.sinet.ad.jp,1
perf-miyagi-1g.sinet.ad.jp,1
perf-osaka.sinet.ad.jp,1
perfsonar1.icepp.jp,1
perfsonar2.cc.kek.jp,1
perfsonar2.icepp.jp,1
perfsonar3.cc.kek.jp,1
perfsonar3.icepp.jp,1
perfsonar4.cc.kek.jp,1
perfsonar4.icepp.jp,1
ps-kbe-100g.riken.jp,1
ps-tkb-100g.riken.jp,1
ps-wak-100g.riken.jp,1
ps-ykh-100g.riken.jp,1
150.100.212.103,1
150.100.212.104,1
150.100.212.135,1
150.100.212.136,1
150.100.212.231,1
150.100.212.232,1
150.100.213.7,1
150.100.213.71,1
150.100.213.72,1
150.100.213.8,1
172.50.0.1,1
perf-hiroshima-1g.sinet.ad.jp,1
perf-hiroshima.sinet.ad.jp,1
perf-niigata-1g.sinet.ad.jp,1
perf-niigata.sinet.ad.jp,1
perf-okinawa-1g.sinet.ad.jp,1
perf-okinawa.sinet.ad.jp,1
perf-tokyo-1g.sinet.ad.jp,1
perf-tokyo.sinet.ad.jp,1
perf-tottori-1g.sinet.ad.jp,1
perf-tottori.sinet.ad.jp,1
